,precision,recall,f1-score,support
0,0.8984375,0.8646616541353384,0.8812260536398467,266.0
1,0.7486033519553073,0.8220858895705522,0.783625730994152,163.0
2,0.9510204081632653,0.9066147859922179,0.9282868525896414,257.0
3,0.8489583333333334,0.8763440860215054,0.8624338624338624,186.0
accuracy,0.8715596330275229,0.8715596330275229,0.8715596330275229,0.8715596330275229
macro avg,0.8617548983629765,0.8674266039299035,0.8638931249143756,872.0
weighted avg,0.8753729544342594,0.8715596330275229,0.8728435137023879,872.0

# extras
,value
timestamp,2025-09-03 21:35:59
device,cpu
dataset_len,872
batch_size,64
window_size,512
patch_len,8
overlap,0.5
snr_shift,0
data_file,Python_TGRT/data/eLog0_filt_tke_ma.txt
raw_file,Python_TGRT/data/eLog0_filt.txt
stats_file,Python_TGRT/data/stats_train.npz
num_params,23733
model_size_mb,0.095
peak_ram_mb,646.173
peak_vram_mb,
